country,year,en_per_cap,gdp,pop_growth_perc
Austria,1991,3381.07379,172166366529.17,1.134999125
Austria,1992,3256.045376,193096520160.28,-0.210250505
Austria,1993,3229.317221,188288650183.37,1.861482359
Austria,1994,3221.341307,201192480424.05,0
Austria,1995,3356.750924,238314109458.17,0.306275077
Austria,1996,3559.873074,234143004938.91,0.149503415
Austria,1997,3536.660237,206878199346.04,0.077183337
Austria,1998,3594.19332,212150714762.12,0.142225172
Austria,1999,3580.245448,210929628169.61,0.247104245
Austria,2000,3566.051079,191200302192.74,0.11714935
Austria,2001,3761.806561,190155281431.77,0.392621746
Austria,2002,3779.358885,205954943534.73,0.505079956
Austria,2003,3974.886669,252034237020.32,0.422590633
Austria,2004,3978.515053,289038861882.50,0.700928823
Austria,2005,4123.585561,302921137392.43,0.716845878
Austria,2006,4076.090888,322340100433.93,0.59487728
Austria,2007,4008.350653,372291309786.79,0.221477088
Austria,2008,4016.596045,414670756948.77,0.434411324
Canada,1991,7388.563674,598208082395.04,1.360506045
Canada,1992,7480.025343,579531728303.14,1.227418982
Canada,1993,7641.830371,563664832183.55,1.094331918
Canada,1994,7834.874427,564493995313.42,0.961244855
Canada,1995,7861.674354,590517341882.83,0.828157791
Canada,1996,7956.970265,613761642830.95,1.077164681
Canada,1997,7965.748453,637536472627.47,1.057015395
Canada,1998,7837.803848,616766430738.12,0.865613663
Canada,1999,8010.93409,661264723699.27,0.827369318
Canada,2000,8171.989002,724918860682.78,0.882998577
Canada,2001,7974.979522,715423553719.01,1.009521666
Canada,2002,7914.66131,734661951188.43,0.897131277
Canada,2003,8272.441249,865873242452.36,0.996232739
Canada,2004,8364.39825,992226868149.61,1.002034424
Canada,2005,8424.31202,1133759985475.67,0.985903767
Canada,2006,8224.343716,1278610846644.80,1.037554912
Canada,2007,8248.276474,1424065729447.91,0.996579677
Canada,2008,8001.482766,1499107812265.71,1.011965659
China,1991,744.4857279,379468656246.25,1.364434008
China,1992,760.3535756,422660918111.41,1.225536228
China,1993,795.3873129,440500898964.60,1.149619431
China,1994,822.4925397,559224707280.73,1.130260632
China,1995,869.1880044,728007199936.41,1.086509151
China,1996,891.0069295,856084729312.25,1.048141514
China,1997,883.9906998,952652693079.14,1.023450024
China,1998,874.0635251,1019458585326.15,0.959550406
China,1999,866.7249059,1083277930359.88,0.865851393
China,2000,867.1253131,1198480321713.00,0.787956593
China,2001,858.1086685,1324804848409.43,0.726380638
China,2002,922.915171,1453827687613.08,0.669999568
China,2003,1043.965857,1640959264366.29,0.622860936
China,2004,1209.740628,1931643872027.84,0.593932815
China,2005,1301.191587,2256902969137.08,0.58812499
China,2006,1414.146777,2712950560614.04,0.558374367
China,2007,1490.260435,3494055865921.79,0.522271866
China,2008,1598.516237,4521826899540.68,0.512386932
United Kingdom,1991,3708.493565,1055844797178.13,0.309247932
United Kingdom,1992,3685.486015,1091751491751.49,0.270432919
United Kingdom,1993,3712.174083,981097780443.91,0.239743703
United Kingdom,1994,3729.119361,1060586164677.07,0.254586487
United Kingdom,1995,3727.46442,1157118510336.12,0.264547417
United Kingdom,1996,3878.057746,1219541341653.67,0.254626384
United Kingdom,1997,3759.675758,1359027504911.59,0.257555038
United Kingdom,1998,3786.8605,1455948989731.70,0.291404371
United Kingdom,1999,3783.75539,1502556220676.27,0.333405882
United Kingdom,2000,3785.476843,1477580571947.34,0.357300887
United Kingdom,2001,3785.789867,1470891032100.19,0.365161651
United Kingdom,2002,3682.235416,1612056354916.07,0.367883666
United Kingdom,2003,3731.125468,1860809795918.37,0.404485063
United Kingdom,2004,3706.627358,2202490021604.60,0.505061081
United Kingdom,2005,3692.259605,2280113745868.17,0.593614118
United Kingdom,2006,3613.870947,2444148618090.22,0.614676968
United Kingdom,2007,3447.617543,2810971803142.23,0.64321601
United Kingdom,2008,3390.309753,2657482269112.41,0.664933705
India,1991,380.2376825,267523504823.55,1.98311322
India,1992,388.10315,245553170107.80,1.862573145
India,1993,389.6931023,276037365895.65,1.852646766
India,1994,397.5663096,323506143586.02,1.803659422
India,1995,412.2431097,356298991324.31,1.784040516
India,1996,418.1036243,388343910827.92,1.762873069
India,1997,426.9680606,410915167039.78,1.741705622
India,1998,429.9175319,416252442323.14,1.720538176
India,1999,448.7846063,450476199267.53,1.699370729
India,2000,450.0480893,460182031503.10,1.678203282
India,2001,449.8942038,477848859030.57,1.615974921
India,2002,455.3560515,507189954396.40,1.55374656
India,2003,459.8807577,599461389810.15,1.491518199
India,2004,480.3413714,721573248762.03,1.429289838
India,2005,491.4278524,834035801005.14,1.367061477
India,2006,509.0957045,951339358745.93,1.38163946
India,2007,530.3736588,1242426253335.13,1.34038184
India,2008,543.0204235,1213782569748.83,1.34038184
Italy,1991,2645.667224,1195264703137.19,0.069881605
Italy,1992,2627.312063,1265800120974.08,0.068688398
Italy,1993,2611.947741,1020989390919.16,0.061779244
Italy,1994,2578.415876,1053924224303.55,0.02093644
Italy,1995,2799.324914,1126041431118.51,0.002550779
Italy,1996,2796.033576,1259602980298.66,0.029373251
Italy,1997,2834.217296,1192322069122.33,0.054502334
Italy,1998,2912.717025,1217086529497.04,0.03013934
Italy,1999,2957.044582,1200821526741.96,0.018623855
Italy,2000,3011.875533,1097344131195.87,0.047510257
Italy,2001,3021.063974,1117358481431.77,0.056350738
Italy,2002,3016.166183,1218921247882.55,0.309625167
Italy,2003,3114.726763,1507171243792.33,0.779442794
Italy,2004,3128.308921,1727825472922.22,0.985757242
Italy,2005,3137.384854,1777693953638.76,0.739413048
Italy,2006,3089.506071,1863380936371.36,0.569041312
Italy,2007,3016.317108,2116201719593.01,0.733272008
Italy,2008,2942.621896,2296497394246.16,0.766549688
Japan,1991,3583.481759,3484769502927.47,0.310355946
Japan,1992,3658.547827,3796114212803.18,0.248237081
Japan,1993,3674.052756,4350012320387.63,0.246819413
Japan,1994,3867.5005,4778992405667.67,0.340685789
Japan,1995,3956.081035,5264380244015.50,0.381789601
Japan,1996,4031.991388,4642544385824.12,0.256369567
Japan,1997,4064.213409,4261842006299.65,0.262058819
Japan,1998,3981.14328,3857027943100.85,0.252672401
Japan,1999,4045.351915,4368734790196.90,0.189678394
Japan,2000,4090.376456,4667448302100.39,0.17355637
Japan,2001,4017.152624,4095484283985.13,0.219668696
Japan,2002,4004.673985,3918335087887.20,0.232527187
Japan,2003,3963.474655,4229096852937.24,0.213980949
Japan,2004,4089.390362,4605920900612.79,0.033662258
Japan,2005,4073.745697,4552200185087.74,0.009392097
Japan,2006,4068.517854,4362589532154.19,-0.01330573
Japan,2007,4031.994083,4377943849041.22,0.01154478
Japan,2008,3880.451018,4879861453767.94,-0.052224332
Saudi Arabia,1991,4175.001638,131335915472.95,3.235455248
Saudi Arabia,1992,4609.37997,136304139411.15,3.06774681
Saudi Arabia,1993,4579.612516,132151405582.79,2.814421239
Saudi Arabia,1994,4774.996359,134327104601.47,2.448598826
Saudi Arabia,1995,4734.288926,142457681255.81,2.042561585
Saudi Arabia,1996,4954.286029,157743126866.83,1.580694611
Saudi Arabia,1997,4690.48553,164993858632.32,1.238788257
Saudi Arabia,1998,4922.251634,145772799590.40,1.233175093
Saudi Arabia,1999,4935.510089,160957062621.87,1.659722679
Saudi Arabia,2000,5054.7973,188441864874.67,2.353988454
Saudi Arabia,2001,5157.097844,183012268441.60,3.124974061
Saudi Arabia,2002,5449.04816,188551196398.93,3.709062137
Saudi Arabia,2003,5434.781217,214572800000.00,3.979291533
Saudi Arabia,2004,6190.536977,250338933333.33,3.861871552
Saudi Arabia,2005,6053.805323,315580048570.90,3.502002337
Saudi Arabia,2006,6379.735088,356630440587.45,3.105537976
Saudi Arabia,2007,5650.426973,384891141942.37,2.802129249
Saudi Arabia,2008,5888.245793,476304800000.00,2.564307533
USA,1991,7631.521363,5930700000000.00,1.336260656
USA,1992,7677.394544,6261800000000.00,1.386885605
USA,1993,7709.835526,6582900000000.00,1.318679917
USA,1994,7757.139758,6993300000000.00,1.226296011
USA,1995,7763.365148,7338400000000.00,1.190787016
USA,1996,7844.014629,7751100000000.00,1.163411547
USA,1997,7828.535259,8256500000000.00,1.203960221
USA,1998,7803.654622,8741000000000.00,1.165714453
USA,1999,7923.24723,9301000000000.00,1.148339975
USA,2000,8056.545961,9898800000000.00,1.116167336
USA,2001,7825.176244,10233900000000.00,1.02600441
USA,2002,7838.5196,10590200000000.00,0.950283471
USA,2003,7788.318287,11089200000000.00,0.872473664
USA,2004,7875.279622,11812300000000.00,0.932516374
USA,2005,7840.532816,12579700000000.00,0.919505323
USA,2006,7691.694681,13336200000000.00,0.955679559
USA,2007,7749.233122,13995000000000.00,0.995387884
USA,2008,7481.016585,14296900000000.00,0.92251729